x,y,z,yaw,velocity,change_flag,look_ahead
4.3039,0.6478,-0.0405,-0.0066,6,0,2.1
5.3299,0.5864,0.0821,-0.0323,6,0,2.3
6.349,0.5327,0.1531,-0.0936,6,0,2.4
7.3556,0.4844,0.2223,-0.1453,6,0,2.6
8.34,0.2887,0.1725,-0.1368,6,0,2.7
9.3502,0.1872,0.0494,-0.10800000000000001,6,0,2.7
10.3548,0.0941,-0.1873,-0.0769,6,0,2.5
11.3553,0.1875,-0.2202,-0.069,6,0,2.3
12.3785,0.0967,-0.2729,-0.0592,6,0,2.0
13.3958,0.1038,-0.0939,-0.0531,6,0,1.9
14.4407,0.1127,-0.0189,-0.0465,6,0,1.8
15.4677,-0.0178,-0.0089,-0.0601,6,0,1.9
16.4808,0.045,-0.0364,-0.0851,6,0,2.0
17.5203,-0.0083,0.2212,-0.1212,6,0,2.1
18.5166,-0.1216,0.2254,-0.1677,6,0,2.1
19.5183,-0.2911,0.0871,-0.1881,6,0,2.0
20.5172,-0.4523,0.0909,-0.1595,6,0,1.9
21.5571,-0.5987,0.0642,-0.1338,6,0,1.8
22.5816,-0.7602,0.1072,-0.1216,6,0,1.8
23.5819,-0.8897,0.2062,-0.1004,6,0,1.8
24.5925,-0.9164,0.2602,-0.0832,6,0,1.8
25.5973,-0.9795,0.203,-0.0701,6,0,1.8
26.6404,-1.0290000000000001,0.337,-0.0484,6,0,1.7
27.6989,-1.0554,0.27399999999999997,-0.0477,6,0,1.7
28.7424,-1.0958,0.3157,-0.0399,6,0,1.7
29.7855,-1.077,0.2918,-0.0179,6,0,1.6
30.8062,-1.1017,0.4598,-0.0016,6,0,1.5
31.8274,-1.0647,0.4423,0.0018,6,0,1.5
32.8218,-0.9378,0.5069,-0.005,6,0,1.5
33.8396,-0.9506,0.5159,-0.0082,6,0,1.7
34.8809,-0.8509,0.4497,-0.0318,6,0,1.9
35.8801,-0.9626,0.3726,-0.0179,6,0,2.2
36.9002,-0.9383,0.3989,-0.0348,6,0,2.4
37.9029,-0.9541,0.3908,-0.028999999999999998,6,0,2.6
38.9074,-1.0663,0.3803,-0.028999999999999998,6,0,2.6
39.9413,-1.0959,0.3137,-0.0505,6,0,2.6
40.9794,-1.0848,0.3682,-0.0768,6,0,2.5
42.0022,-1.1662,0.5253,-0.0919,6,0,2.4
43.0597,-1.122,0.3621,-0.0455,6,0,2.3
44.0826,-1.1433,0.5769,0.1837,6,0,2.2
45.0508,-0.8895,0.6579,0.4018,6,0,2.2
45.9398,-0.4184,0.6518,0.762,6,0,2.4
46.5268,0.4327,0.4738,1.1139,6,0,2.6
46.8161,1.4447,2.0084,1.4996,6,0,2.8
46.7276,2.4517,2.2365,1.5264,6,0,2.9
46.7285,3.4527,2.1937,1.5132,0,0,3.0
